EMM_type	ENN_type	MRP_type	genes_in_operon	main_types_sorted	Freq
1.0	-	-	1.0	1	10709
1.0	166.1	-	1.0,166.1	1,166	9
100.0	134.0	156.1	156.1,100.0,134.0	100,134,156	1
100.7	166.1	156.3*	156.3,100.7,166.1	100,156,166	1
100.0	167.0	156.3*	156.3,100.0,167.0	100,156,167	54
100.2	174.1*	156.4	156.4,100.2,174.1	100,156,174	4
101.1	174.1*	156.2*	156.2,101.1,174.1	101,156,174	3
101.0	205.0	156.4	156.4,101.0,205.0	101,156,205	345
101.10	205.0	-	101.10,205.0	101,205	1
102.1	-	-	102.1	102	155
102.8	149.3*	-	102.8,149.3	102,149	3
103.0	-	-	103.0	103	128
103.0	159.4*	-	103.0,159.4	103,159	1
104.0	149.0*	141.3*	141.3,104.0,149.0	104,141,149	4
104.0	149.0*	-	104.0,149.0	104,149	48
105.0	240.2*	156.1*	156.1,105.0,240.2	105,156,240	13
106.0	-	-	106.0	106	2
106.0	-	141.2*	141.2,106.0	106,141	52
107.0	203.4*	141.3*	141.3,107.0,203.4	107,141,203	1
108.0	174.1*	156.2*	156.2,108.0,174.1	108,156,174	19
108.1	205.2	156.4*	156.4,108.1,205.2	108,156,205	115
109.1	203.5*	-	109.1,203.5	109,203	21
11.0	-	141.2	141.2,11.0	11,141	231
11.0	202.1	141.2	141.2,11.0,202.1	11,141,202	1149
11.0	164.3*	-	11.0,164.3	11,164	1
11.0	202.1	-	11.0,202.1	11,202	1
110.1	-	-	110.1	110	1
110.0	149.5	-	110.0,149.5	110,149	1
110.0	203.4*	-	110.0,203.4	110,203	41
112.0	149.4	141.3*	141.3,112.0,149.4	112,141,149	2
112.2	149.2*	-	112.2,149.2	112,149	57
113.3	203.4	141.2*	141.2,113.3,203.4	113,141,203	1
113.0	149.4*	-	113.0,149.4	113,149	73
113.0	203.4	-	113.0,203.4	113,203	2
114.6	149.2*	141.3*	141.3,114.6,149.2	114,141,149	4
114.2	203.4*	141.1*	141.1,114.2,203.4	114,141,203	17
114.6	149.5	-	114.6,149.5	114,149	152
114.0	159.0	-	114.0,159.0	114,159	18
114.7	203.4*	-	114.7,203.4	114,203	1
115.0	138.1*	156.4*	156.4,115.0,138.1	115,138,156	1
115.0	-	156.4	156.4,115.0	115,156	5
116.1	138.1*	156.1*	156.1,116.1,138.1	116,138,156	29
116.2	205.1*	156.4	156.4,116.2,205.1	116,156,205	1
117.1	149.4	-	117.1,149.4	117,149	1
117.0	203.4	-	117.0,203.4	117,203	3
118.0	-	-	118.0	118	3
118.2	203.4*	-	118.2,203.4	118,203	9
118.0	236.1*	-	118.0,236.1	118,236	142
119.0	138.0	156.1*	156.1,119.0,138.0	119,138,156	19
12.0	-	-	12.0	12	4502
120.0	205.0*	156.2*	156.2,120.0,205.0	120,156,205	1
121.2	-	156.1	156.1,121.2	121,156	39
121.0	174.1*	156.1	156.1,121.0,174.1	121,156,174	1
122.2	-	156.3*	156.3,122.2	122,156	8
122.2	166.1*	156.1	156.1,122.2,166.1	122,156,166	1
122.4	240.0*	156.4*	156.4,122.4,240.0	122,156,240	5
123.0	205.0	-	123.0,205.0	123,205	24
124.0	-	141.4*	141.4,124.0	124,141	1
124.0	149.5	141.4*	141.4,124.0,149.5	124,141,149	25
126.1	203.4	-	126.1,203.4	126,203	1
13.0	203.4*	141.4	141.4,13.0,203.4	13,141,203	9
13.0	203.4*	-	13.0,203.4	13,203	3
132.0	203.7*	141.4*	141.4,132.0,203.7	132,141,203	2
134.1	-	-	134.1	134	4
134.3	-	156.0*	156.0,134.3	134,156	4
276.0	134.3	156.0*	156.0,276.0,134.3	134,156,276	1
233.0	134.1*	-	233.0,134.1	134,233	22
137.0	-	-	137.0	137	3
138.2*	-	-	138.2	138	1
147.0	138.1*	156.1*	156.1,147.0,138.1	138,147,156	3
138.0	-	156.1*	156.1,138.0	138,156	5
181.0	138.2	156.1	156.1,181.0,138.2	138,156,181	2
186.1	138.0*	156.1	156.1,186.1,138.0	138,156,186	2
188.0	138.0	156.1*	156.1,188.0,138.0	138,156,188	2
192.0	138.0	156.1*	156.1,192.0,138.0	138,156,192	12
223.0	138.0	156.4	156.4,223.0,138.0	138,156,223	11
224.0	138.0*	156.1*	156.1,224.0,138.0	138,156,224	2
230.1	138.1*	156.2	156.2,230.1,138.1	138,156,230	6
233.1	138.2*	156.1	156.1,233.1,138.2	138,156,233	1
242.0	138.2*	156.4*	156.4,242.0,138.2	138,156,242	1
14.3	-	-	14.3	14	1
14.4	134.1*	-	14.4,134.1	14,134	3
14.3	51.0	-	14.3,51.0	14,51	2
51.0	51.0	14.3	14.3,51.0,51.0	14,51,51	1
141.4*	-	-	141.4	141	2
145.5	203.7*	141.4	141.4,145.5,203.7	141,145,203	2
148.9	203.7*	141.4	141.4,148.9,203.7	141,148,203	1
149.4	-	141.4*	141.4,149.4	141,149	2
183.1	149.5	141.1*	141.1,183.1,149.5	141,149,183	6
151.1	-	141.3	141.3,151.1	141,151	2
151.1	236.2*	141.3	141.3,151.1,236.2	141,151,236	373
153.1	203.7*	141.4	141.4,153.1,203.7	141,153,203	1
159.4*	-	141.4*	141.4,159.4	141,159	3
173.0	159.4*	141.4*	141.4,173.0,159.4	141,159,173	1
232.0	159.0*	141.2*	141.2,232.0,159.0	141,159,232	16
177.0	164.3*	141.3*	141.3,177.0,164.3	141,164,177	3
168.0	203.4*	141.2*	141.2,168.0,203.4	141,168,203	9
168.1	236.2*	141.4*	141.4,168.1,236.2	141,168,236	1
180.1	203.7*	141.4*	141.4,180.1,203.7	141,180,203	1
202.1	-	141.2	141.2,202.1	141,202	2
203.4	-	141.4	141.4,203.4	141,203	3
231.0	203.7*	141.4	141.4,231.0,203.7	141,203,231	1
232.0	203.7*	141.2*	141.2,232.0,203.7	141,203,232	4
253.2	203.7*	141.4	141.4,253.2,203.7	141,203,253	1
249.0*	-	141.2*	141.2,249.0	141,249	1
149.5	-	-	149.5	149	3
149.3*	-	156.0	156.0,149.3	149,156	2
169.0	149.0	-	169.0,149.0	149,169	2
180.0	149.4*	-	180.0,149.4	149,180	1
183.2	149.0*	-	183.2,149.0	149,183	61
